Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
NFRKB,586.0005,159.00012,96.00007,429.00021
NFS1,303.16783,127,108.00004,522.08902
NFU1,247.99998,99.00003,110.00005,227.9999
NFX1,630.02878,151.8254,162.85885,1747.1924
NFXL1,223.009399,67.00005,21,289.999631
NFYA,301.0004,110,192.9997,575
NFYB,199.15388,119.52431,134.00003,434.45134
NFYC,422.88747,167.57172,154.89222,636.9879676
NGDN,171.901761,91.000002,52.9999702,302.7754
NGEF,108.00002,13.000004,7.000001,13.0000218
NGF,0,0,0,0
NGFR,18,30,7,112.99962
NGLY1,338.304896,68.02956,141.43329,258.82565
NGRN,376.683591,214.68553,151.01717,870.07358
NHEJ1,138.02886,43.67794,57.09088,169.71096
NHLH1,1,2,2,1
NHLRC1,0,0,0,3.00084
NHLRC2,441.27265,95.6312,167.065,656.705
NHLRC3,157.40867,33.00487,38.99997,217.0589
NHP2,1248.5325,780.09073,648.6343403,1438.37563
NHS,82,15.9999786,26.000025,75.999992
NHSL1,219.99996,39.0000212,112.99997,281.99952
NHSL2,6.00173,0,1,8.00613
NICN1,80.58796,32.69163049,13.68972,25.987837
NID1,2,0,6,8
NID2,0,0,10.99881,2.023872
NIF3L1,175,90.9999591,91,345.0001213
NIFK,440.16671,188.99973,119.9801,873.8854
NIM1K,1,0,4.000004,5.01015
NIN,527.000005,182.0003758,362.9993923,934.0002996
NINJ1,503.01505,334.99977,213.99965,927.01384
NINJ2,1,0,0,2.000004
NINL,10.000004,5.000002,2,18.999959
NIP7,214.45482,133.00007,61.99997,639.93721
NIPA1,403.999603,90.00003,100,211.00043
NIPA2,248.88419,186.2458579,68.29686,486.9230813
NIPAL1,90.45537,31.23644,1,83.04145
NIPAL2,490.73632,131.9999,205.60085,946.174374
NIPAL3,1352.91025,304.99272,282.99953,1474.96216
NIPAL4,106.00316,44.00003,50.99997,389.01136
NIPBL,990.23801,233.0005898,488.99955,959.0003
NIPSNAP1,1152.79649,304.00003,238.86599,842.00011
NIPSNAP3A,149.99966,85,41,182.918
NIPSNAP3B,2,0,0,5.0824
NISCH,878.0051781,224.0002278,296.0000555,918.0009
NIT1,289.78556,114.95643,53.60014,428.50346
NIT2,423.15811,247.99948,440.00203,1297.11937
NKAIN1,2.000002,1,0,3
NKAP,231.3323,75.0367,93.2107,168.67165
NKAPP1,6.08342,2.999999,1,6
NKD1,37.000049,7,33.174877,47
NKD2,0,0,1,8
NKIRAS1,67.40569,33.2287,11.00001,52.09314
NKIRAS2,373.2732,121.10034,148.449394,598.4871229
NKPD1,9.01334,0,2.002998,30.999954
NKRF,291,74.0412,46,195.67637
NKTR,1033.112167,215.0438667,251.00034,537.0017326
NKX1-2,13,9,0,6.40003
NKX2-5,44.00004,33.00005,1,11
NKX2-8,7,8,4,26
NKX3-1,13,4,2,19.0673
NKX3-2,16,4,0,2
NKX6-1,0,0,0,2
NLE1,414.89404,168.00013,215.7973433,873.3566
NLGN1,0,0,2,9.000004
NLGN2,627.9998,97.00005,102,224
NLGN3,16.99998,2,0,1
NLGN4X,33.01456115,7,4,26.00001
NLK,183.00023,64.00000837,34.00003,162.04022
NLN,404.33198,154.053484,121.4046,778.63981
NLRC3,14.0046,4.00336,5,10.0577
NLRC4,11,1.999999,1,4.000005
NLRC5,42.00002662,61.00001211,7,139.000002
NLRP1,206.01364,23.99996265,6,46.7008
NLRP12,1.00924,1.06728,5,0
NLRP2,5.0000005,0,30.00001,247.6517775
NLRP3,37.999947,1,0,1.0317
NLRX1,257.9999088,108.99999,23.00004611,278.99998
NMB,132,37,55,73
NMD3,919.00433,221.00015,414.9995923,1925.7123
NME1,878.90277,695.08948,459.0147,1433.06054
